"Feature","Gain","Cover","Frequency"
"word2vec_40",0.00516984808413451,0.00515739191327186,0.00773041167965508
"word2vec_36",0.00515952562544928,0.00466084837308617,0.00787134423559748
"lsa_20",0.00512630864633836,0.00382703650694011,0.00738069015194617
"word2vec_47",0.00499504469665624,0.00388230572466999,0.00729195483894541
"word2vec_16",0.00496119276628362,0.00381788076011863,0.00804881486159901
"lda_10",0.00493338974178998,0.00391591797908495,0.00328842630532255
"lda_6",0.00487522029103327,0.00394512974553205,0.0049222000093955
"word2vec_8",0.00484454027797927,0.00466131384129711,0.00763123691806599
"word2vec_12",0.0048352258940987,0.00324017774958539,0.00745376629206445
"word2vec_1",0.00471300755984886,0.00331858337677546,0.00754772132935938
"word2vec_20",0.00469929259032973,0.00388436843555551,0.00731805346041622
"word2vec_22",0.00463856440988048,0.00326300242896169,0.0076573355395368
"lsa_12",0.00456879916622393,0.00310487866440324,0.00728673511465124
"word2vec_45",0.00453289010390491,0.00414449787270348,0.00763645664236015
"valoro",0.00449900076957248,0.0063452464539006,0.00215052640919507
"word2vec_38",0.0043950750635606,0.00255910718269888,0.00709882504006138
"word2vec_3",0.0043843204485084,0.00280795688792802,0.00723453787170962
"lsa_15",0.00437974616102898,0.00378538656842088,0.00664992875076338
"word2vec_19",0.00430887781004384,0.00276001918895936,0.00732327318471038
"word2vec_5",0.00424462124960911,0.00356906366297137,0.0073493718061812
"word2vec_27",0.00422021175161824,0.00311227078931523,0.00671256544229334
"lsa_19",0.00419266034639444,0.00230568306713954,0.00691613468976569
"lsa_18",0.00412991641732976,0.0030625729662916,0.00706750669429641
"word2vec_42",0.00409842182454994,0.00297341207541248,0.00682739937676492
"el",0.00406442071878678,0.00665148969620509,0.00548593023316508
"lda_1",0.00393814731480322,0.00349656465838958,0.00462989544892239
"word2vec_44",0.00391327053197451,0.0031239723448204,0.00669690626941085
"word2vec_26",0.00387208616858744,0.00276201768189926,0.00661339068070424
"word2vec_7",0.00384799040143672,0.00247743336975106,0.00687959661970655
"más",0.00379089877019728,0.0061638817991369,0.00290216670755451
"word2vec_31",0.00378979986138994,0.00206221396960788,0.0064515792275852
"lsa_10",0.00376191180685531,0.00168077557967105,0.00640460170893773
"lsa_16",0.00374514153833741,0.00234236673952496,0.00633674529311362
"word2vec_39",0.0037377040275408,0.00236938007650288,0.00648811729764434
"word2vec_18",0.00367890548612718,0.00321133441424056,0.0062271310829362
"word2vec_4",0.00364762862306705,0.00278359642375136,0.00656641316205678
